fileNames,language,imports,numImages
c69435c1780c63236d0a04485c117c833673b01d.ipynb,python3,"["" numpy"", "" pandas"", "" matplotlib.pyplot"", "" seaborn"", ""sklearn.model_selection train_test_split"", ""sklearn.tree DecisionTreeClassifier"", ""sklearn.metrics classification_report"", ""sklearn.metrics confusion_matrix"", ""sklearn.ensemble RandomForestClassifier""]",5
343629b946008f516fa1a8a623f87226f25e62f3.ipynb,python3,"["" keras"", "" requests"", "" zipfile"", "" io"", "" numpy"", "" glob"", "" matplotlib.pyplot"", ""PIL Image"", ""keras.models Sequential"", ""keras.models Model"", ""keras.layers Dense"", ""keras.layers Activation"", ""keras.layers Flatten"", ""keras.layers Dropout"", ""keras.layers Lambda"", ""keras.layers ELU"", ""keras.layers concatenate"", ""keras.layers GlobalAveragePooling2D"", ""keras.layers Input"", ""keras.layers BatchNormalization"", ""keras.layers SeparableConv2D"", ""keras.layers Subtract"", ""keras.layers concatenate"", ""keras.activations relu"", ""keras.activations softmax"", ""keras.layers.convolutional Convolution2D"", ""keras.layers.pooling MaxPooling2D"", ""keras.layers.pooling AveragePooling2D"", ""keras.optimizers Adam"", ""keras.optimizers RMSprop"", ""keras.optimizers SGD"", ""keras.regularizers l2"", ""keras backend"", ""google.colab files"", ""pydrive.auth GoogleAuth"", ""pydrive.drive GoogleDrive"", ""google.colab auth"", ""oauth2client.client GoogleCredentials"", ""pydrive.auth GoogleAuth"", ""pydrive.drive GoogleDrive"", ""google.colab auth"", ""oauth2client.client GoogleCredentials"", ""keras.models load_model"", "" sklearn"", ""sklearn.manifold TSNE"", "" numpy"", ""sklearn.decomposition PCA"", "" matplotlib.pyplot""]",5
b65d2e5576191cc3da3671fb941e7163a7232e6f.ipynb,python3,"["" matplotlib.pyplot"", "" jellyfish.graphs"", "" matplotlib.pyplot"", "" networkx"", "" importlib""]",3
db6481d9f88c0cdfb4fbb4d30bfbbc49105777ca.ipynb,python3,"["" pandas"", "" numpy"", "" matplotlib.pyplot"", "" seaborn"", ""contextlib contextmanager"", ""time time"", "" numpy"", ""sklearn.neighbors KNeighborsClassifier"", ""sklearn.linear_model LogisticRegression"", "" cProfile"", "" numpy"", "" operator"", ""scipy.spatial distance"", "" matplotlib.cm"", "" numpy"", "" matplotlib.pyplot"", ""matplotlib cm"", ""sklearn.linear_model LogisticRegression"", ""sklearn.datasets make_moons"", ""sklearn.model_selection train_test_split"", ""sklearn.ensemble RandomForestClassifier"", ""autosklearn.classification AutoSklearnClassifier"", "" numpy"", "" pandas"", ""autosklearn.classification AutoSklearnClassifier"", ""autosklearn.regression AutoSklearnRegressor"", ""sklearn.model_selection train_test_split"", ""sklearn.metrics accuracy_score"", ""sklearn.preprocessing LabelEncoder"", "" wget"", "" pandas"", ""sklearn.datasets fetch_kddcup99"", "" matplotlib.pyplot"", "" seaborn"", "" numpy"", "" pandas"", ""pprint pprint"", ""sklearn.datasets.samples_generator make_blobs"", ""sklearn.preprocessing StandardScaler"", ""sklearn.cluster KMeans"", ""sklearn.cluster KMeans"", ""sklearn.cluster DBSCAN"", ""sklearn.cluster AgglomerativeClustering"", ""sklearn.cluster MeanShift"", ""sklearn.cluster estimate_bandwidth"", ""sklearn.cluster SpectralClustering"", ""hdbscan HDBSCAN"", ""sklearn.datasets load_breast_cancer"", "" pandas"", ""sklearn.decomposition PCA"", ""sklearn.decomposition PCA"", ""sklearn.manifold TSNE"", ""sklearn.cluster KMeans"", ""sklearn.cluster DBSCAN"", ""sklearn.cluster AgglomerativeClustering"", ""sklearn.cluster MeanShift"", ""sklearn.cluster estimate_bandwidth"", ""sklearn.cluster SpectralClustering"", ""hdbscan HDBSCAN"", ""sklearn.datasets load_breast_cancer""]",16
7acd00c98ea922978b57cc3d46a426d5058af420.ipynb,python2,"["" re"", "" numpy"", "" matplotlib.pyplot"", "" pandas"", "" brewer2mpl"", ""matplotlib rcParams"", ""IPython.display Image"", ""pandas.tools.plotting parallel_coordinates"", "" seaborn""]",14
a9f36263d732b15677cb464b9590fc06142d7c3a.ipynb,python3,"["" pandas"", "" numpy"", "" matplotlib.pyplot"", "" seaborn"", ""numpy.random normal"", ""sklearn.datasets make_moons"", ""sklearn.model_selection train_test_split"", ""sklearn.metrics roc_auc_score"", ""sklearn.model_selection train_test_split"", ""sklearn.model_selection StratifiedKFold"", ""sklearn.utils shuffle"", ""sklearn.neighbors KNeighborsClassifier"", ""sklearn.linear_model LogisticRegression"", ""sklearn.ensemble GradientBoostingClassifier"", ""sklearn.svm SVC""]",11
aeab81842f411700569c4619b5993ef1ed423c62.ipynb,python3,"["" numpy"", "" matplotlib.pyplot"", "" numpy"", "" matplotlib.pyplot"", "" numpy"", "" matplotlib.pyplot"", "" numpy"", "" matplotlib.pyplot"", "" numpy"", "" matplotlib.pyplot"", "" numpy"", "" matplotlib.pyplot"", ""mpl_toolkits.mplot3d axes3d"", "" matplotlib.pyplot"", "" numpy"", "" math"", "" pylab"", ""matplotlib mlab"", "" math"", "" pylab"", ""matplotlib mlab"", "" matplotlib.pyplot""]",88
9e9f467bd9e730d43b0a492e5465ac8d756cf9a3.ipynb,python3,"["" os"", "" sys"", "" pandas"", "" numpy"", "" matplotlib.pyplot"", "" seaborn"", ""hzy data_duplicate"", ""hzy data_latlng"", ""hzy data_normalization"", ""hzy data_anomaly"", ""hzy data_encoding"", "" os"", "" sys"", "" pandas"", "" numpy"", "" matplotlib.pyplot"", "" seaborn"", ""hzy data_duplicate"", ""hzy data_latlng"", ""hzy data_normalization"", ""hzy data_anomaly"", ""hzy data_encoding"", "" time"", "" pandas"", "" numpy"", ""sklearn.feature_selection f_regression"", ""sklearn.feature_selection mutual_info_regression"", "" matplotlib.pyplot"", ""sklearn.svm SVC"", ""sklearn.model_selection StratifiedKFold"", ""sklearn.feature_selection RFECV"", ""sklearn.feature_selection RFE"", ""sklearn.linear_model LogisticRegression"", ""sklearn.linear_model RidgeCV"", ""sklearn.linear_model LassoCV"", ""sklearn.ensemble RandomForestRegressor"", "" pandas"", "" numpy"", ""matplotlib pyplot"", ""sklearn.model_selection train_test_split"", ""sklearn metrics"", "" time"", "" xgboost"", ""xgboost XGBRegressor"", ""xgboost plot_importance"", "" joblib"", "" os"", ""sklearn linear_model"", "" joblib"", ""sklearn linear_model"", "" joblib"", ""sklearn svm"", "" joblib"", ""sklearn.ensemble GradientBoostingRegressor"", "" joblib"", ""sklearn.ensemble BaggingRegressor"", "" joblib"", ""yellowbrick.regressor ResidualsPlot"", "" shap"", ""sklearn.preprocessing RobustScaler"", ""sklearn.preprocessing OneHotEncoder"", ""math log"", ""math pow""]",4
a1e75e3be2635116c31c3da0743376a08c1d582f.ipynb,python3,"["" pandas"", ""matplotlib pyplot"", "" seaborn"", ""sklearn.manifold TSNE""]",18
2551a8b80bd1948f71668d0ede6e872fbce18538.ipynb,python3,"["" pandas"", "" seaborn"", "" seaborn"", ""sklearn.model_selection train_test_split"", ""sklearn.linear_model LinearRegression"", ""sklearn metrics"", "" numpy""]",1
