,Validation_Set,topics,alpha,beta,coherence
458,100% Corpus,8,0.31,0.9099999999999999,0.7825365212499769
459,100% Corpus,8,0.31,symmetric,0.7865695845745053
460,100% Corpus,8,0.61,0.01,0.709098184018814
461,100% Corpus,8,0.61,0.31,0.7821120756029785
462,100% Corpus,8,0.61,0.61,0.7838832091805072
463,100% Corpus,8,0.61,0.9099999999999999,0.7854184551643058
464,100% Corpus,8,0.61,symmetric,0.7806357418737302
465,100% Corpus,8,0.9099999999999999,0.01,0.7075151562721023
466,100% Corpus,8,0.9099999999999999,0.31,0.7833464008303284
467,100% Corpus,8,0.9099999999999999,0.61,0.7842401731790287
468,100% Corpus,8,0.9099999999999999,0.9099999999999999,0.7853140718810385
469,100% Corpus,8,0.9099999999999999,symmetric,0.7876313119775176
470,100% Corpus,8,symmetric,0.01,0.7190185721101546
471,100% Corpus,8,symmetric,0.31,0.7831533153250921
472,100% Corpus,8,symmetric,0.61,0.7834091404204904
473,100% Corpus,8,symmetric,0.9099999999999999,0.7836555761515398
474,100% Corpus,8,symmetric,symmetric,0.7881426298440599
475,100% Corpus,8,asymmetric,0.01,0.4675362842682744
476,100% Corpus,8,asymmetric,0.31,0.7667036224121505
477,100% Corpus,8,asymmetric,0.61,0.7628250586770016
478,100% Corpus,8,asymmetric,0.9099999999999999,0.772726960854084
479,100% Corpus,8,asymmetric,symmetric,0.7330339453560664
480,100% Corpus,9,0.01,0.01,0.6756176263396109
481,100% Corpus,9,0.01,0.31,0.7861966921632625
482,100% Corpus,9,0.01,0.61,0.7809101036912286
483,100% Corpus,9,0.01,0.9099999999999999,0.7842187121327362
484,100% Corpus,9,0.01,symmetric,0.6526511867236081
485,100% Corpus,9,0.31,0.01,0.7051641070160293
486,100% Corpus,9,0.31,0.31,0.7819309098309497
487,100% Corpus,9,0.31,0.61,0.7827165832686169
488,100% Corpus,9,0.31,0.9099999999999999,0.7824897185162794
489,100% Corpus,9,0.31,symmetric,0.783827143055488
490,100% Corpus,9,0.61,0.01,0.6849983040318762
491,100% Corpus,9,0.61,0.31,0.7827093245766819
492,100% Corpus,9,0.61,0.61,0.7814868143972683
493,100% Corpus,9,0.61,0.9099999999999999,0.7818954117292984
494,100% Corpus,9,0.61,symmetric,0.7808774413625476
495,100% Corpus,9,0.9099999999999999,0.01,0.6368533096523484
496,100% Corpus,9,0.9099999999999999,0.31,0.7820944547554314
497,100% Corpus,9,0.9099999999999999,0.61,0.7818763731801288
498,100% Corpus,9,0.9099999999999999,0.9099999999999999,0.7834753258116315
499,100% Corpus,9,0.9099999999999999,symmetric,0.7834085830744729
500,100% Corpus,9,symmetric,0.01,0.7095175652879895
501,100% Corpus,9,symmetric,0.31,0.7833951282448045
502,100% Corpus,9,symmetric,0.61,0.7841958016593257
503,100% Corpus,9,symmetric,0.9099999999999999,0.7802782309925811
504,100% Corpus,9,symmetric,symmetric,0.7716948611519542
505,100% Corpus,9,asymmetric,0.01,0.4563864403229832
506,100% Corpus,9,asymmetric,0.31,0.7722013366958661
507,100% Corpus,9,asymmetric,0.61,0.7745282716051757
508,100% Corpus,9,asymmetric,0.9099999999999999,0.7706761957669536
509,100% Corpus,9,asymmetric,symmetric,0.7426364571951433
510,100% Corpus,10,0.01,0.01,0.69478133974935
511,100% Corpus,10,0.01,0.31,0.7819557773769658
512,100% Corpus,10,0.01,0.61,0.7826896060754944
513,100% Corpus,10,0.01,0.9099999999999999,0.7792655183125383
514,100% Corpus,10,0.01,symmetric,0.6944214423434603
515,100% Corpus,10,0.31,0.01,0.6897905370104921
516,100% Corpus,10,0.31,0.31,0.7810117920305825
517,100% Corpus,10,0.31,0.61,0.7781616479898793
518,100% Corpus,10,0.31,0.9099999999999999,0.7815763194859411
519,100% Corpus,10,0.31,symmetric,0.7814709610628247
520,100% Corpus,10,0.61,0.01,0.6991419307192246
521,100% Corpus,10,0.61,0.31,0.7803561325364053
522,100% Corpus,10,0.61,0.61,0.780308977429274
523,100% Corpus,10,0.61,0.9099999999999999,0.7738667248161031
524,100% Corpus,10,0.61,symmetric,0.7808455475887038
525,100% Corpus,10,0.9099999999999999,0.01,0.6852845999485778
526,100% Corpus,10,0.9099999999999999,0.31,0.7842346829980601
527,100% Corpus,10,0.9099999999999999,0.61,0.7806754770150308
528,100% Corpus,10,0.9099999999999999,0.9099999999999999,0.7801218776806633
529,100% Corpus,10,0.9099999999999999,symmetric,0.779545797398535
530,100% Corpus,10,symmetric,0.01,0.6943290762511722
531,100% Corpus,10,symmetric,0.31,0.7807167211867425
532,100% Corpus,10,symmetric,0.61,0.7671995514240499
533,100% Corpus,10,symmetric,0.9099999999999999,0.7821500425181659
534,100% Corpus,10,symmetric,symmetric,0.769932028452476
535,100% Corpus,10,asymmetric,0.01,0.4640529993434896
536,100% Corpus,10,asymmetric,0.31,0.7696925243448335
537,100% Corpus,10,asymmetric,0.61,0.769760913465951
538,100% Corpus,10,asymmetric,0.9099999999999999,0.7673565824694374
539,100% Corpus,10,asymmetric,symmetric,0.7542189915049164
